Name,Sex.sightings,Date.Sighting,Season,Body.Temp.C,Location,Catch.date,Catch.Sex,SVL,Weight.g.,Lat,Long,ConspecificDensity,NumOverlap50,kdarea,density50
Sardine,Female,13/10/2020,11,18.2,Lake,19/02/2021,Female,NA,NA,-27.46226667,153.0174333,0.03880597,13,335,0.03880597
Starlight,Male,21/06/2021,11,11.6,Spec,5/10/2020,Male,217,660,-27.46268333,153.0193833,0.028795812,28,764,0.036649215
Starlight,Male,21/06/2021,11,11.6,Spec,16/02/2021,Male,NA,NA,-27.46268333,153.0193833,0.028795812,28,764,0.036649215
Supergirl,Female,4/06/2021,11,0,Spec,30/09/2020,Female,170,286,-27.46288333,153.0191667,0.038304808,43,1227,0.035044825
Supergirl,Female,4/06/2021,11,0,Spec,19/02/2021,Female,NA,NA,-27.46288333,153.0191667,0.038304808,43,1227,0.035044825
Sushi,Male,20/10/2020,11,44.4,Spec,30/09/2020,Male,246,752,-27.46275,153.01895,0.038071066,26,394,0.065989848
Sushi,Male,20/10/2020,11,44.4,Spec,28/07/2021,Male,265,840,-27.46275,153.01895,0.038071066,26,394,0.065989848
Sushi,Male,20/10/2020,11,44.4,Spec,15/02/2021,Male,NA,NA,-27.46275,153.01895,0.038071066,26,394,0.065989848
Sylvester,Male,15/10/2020,11,12.6,Rforest,1/10/2020,Male,222,586,-27.46186667,153.01705,0.005825243,3,515,0.005825243
Teatree,Male,4/06/2021,11,11.4,Spec,30/09/2020,Male,243,746,-27.46268333,153.0193333,0.057894737,26,380,0.068421053
Teatree,Male,26/05/2021,11,12.3,Spec,30/09/2020,Male,243,746,-27.46268333,153.01935,0.057894737,26,380,0.068421053
Teatree,Male,4/06/2021,11,11.4,Spec,15/02/2021,Male,NA,NA,-27.46268333,153.0193333,0.057894737,26,380,0.068421053
Teatree,Male,26/05/2021,11,12.3,Spec,15/02/2021,Male,NA,NA,-27.46268333,153.01935,0.057894737,26,380,0.068421053
Thing,Female,8/09/2020,11,16.7,Lake,2/10/2020,Female,185,296,-27.46265,153.0181167,0.071428571,23,308,0.074675325
Thing,Female,8/09/2020,11,16.7,Lake,25/02/2021,Female,NA,NA,-27.46265,153.0181167,0.071428571,23,308,0.074675325
Tizem,Male,20/10/2020,11,16.9,Lake,7/10/2020,Male,187,255,-27.4624,153.0174833,0.03125,13,352,0.036931818
Tizem,Male,20/10/2020,11,16.9,Lake,17/02/2021,Male,NA,NA,-27.4624,153.0174833,0.03125,13,352,0.036931818
Twistie,Female,18/11/2020,11,0,Pground,30/09/2020,Female,194,284,-27.46218333,153.0188833,0.011869436,5,337,0.014836795
Twistie,Female,18/11/2020,11,0,Pground,19/02/2021,Female,NA,NA,-27.46218333,153.0188833,0.011869436,5,337,0.014836795
Uhura,Female,20/10/2020,11,17.8,Lake,6/10/2020,Female,183,280,-27.46258333,153.01815,0.064516129,23,341,0.06744868
Uhura,Female,20/10/2020,11,17.8,Lake,23/02/2021,Female,NA,NA,-27.46258333,153.01815,0.064516129,23,341,0.06744868
Worm,Female,30/10/2020,11,0,Arid,7/10/2020,Female,169,205,-27.4625,153.0183333,0.037623762,21,505,0.041584158
Worm,Female,30/10/2020,11,0,Arid,23/02/2021,Female,NA,NA,-27.4625,153.0183333,0.037623762,21,505,0.041584158
Zedd,Female,13/10/2020,11,0,Arid,16/02/2021,Female,NA,NA,-27.462283330000002,153.018,0.044585987,24,314,0.076433121
Zod,Male,26/01/2021,11,49.5,Arid,29/09/2020,Male,259,702,-27.46205,153.0185167,0.006811989,20,734,0.027247956
Zod,Male,18/12/2020,11,40.6,Arid,29/09/2020,Male,259,702,-27.46201667,153.0185167,0.006811989,20,734,0.027247956
Barron,Male,14/02/2013,3,37.2,Broms,11/03/2013,Male,291,1100,-27.46273333,153.0195333,0.018791946,13,745,0.017449664
Bongo,Male,11/02/2013,3,37.4,Spec,14/03/2013,Male,252,700,-27.46291667,153.0188667,0.037383178,18,321,0.056074766
